ENSG00000267419_rna
 ENSG00000267421_rna 
 ENSG00000267422_rna 
 ENSG00000267432_rna 
 ENSG00000267453_rna 
 ENSG00000267454_rna 
 ENSG00000267466_rna 
 ENSG00000267470_rna 
 ENSG00000267475_rna 
 ENSG00000267480_rna 
 ENSG00000267481_rna 
 ENSG00000267490_rna 
 ENSG00000267493_rna 
 ENSG00000267496_rna 
 ENSG00000267500_rna 
 ENSG00000267504_rna 
 ENSG00000267505_rna 
 ENSG00000267506_rna 
 ENSG00000267508_rna 
 ENSG00000267510_rna 
 ENSG00000267519_rna 
 ENSG00000267523_rna 
 ENSG00000267530_rna 
 ENSG00000267532_rna 
 ENSG00000267534_rna 
 ENSG00000267541_rna 
 ENSG00000267543_rna 
 ENSG00000267544_rna 
 ENSG00000267546_rna 
 ENSG00000267547_rna 
 ENSG00000267549_rna 
 ENSG00000267551_rna 
 ENSG00000267554_rna 
 ENSG00000267565_rna 
 ENSG00000267571_rna 
 ENSG00000267575_rna 
 ENSG00000267583_rna 
 ENSG00000267594_rna 
 ENSG00000267605_rna 
 ENSG00000267607_rna 
 ENSG00000267612_rna 
 ENSG00000267632_rna 
 ENSG00000267640_rna 
 ENSG00000267641_rna 
 ENSG00000267645_rna 
 ENSG00000267648_rna 
 ENSG00000267649_rna 
 ENSG00000267654_rna 
 ENSG00000267655_rna 
 ENSG00000267673_rna 
 ENSG00000267680_rna 
 ENSG00000267681_rna 
 ENSG00000267698_rna 
 ENSG00000267702_rna 
 ENSG00000267707_rna 
 ENSG00000267709_rna 
 ENSG00000267710_rna 
 ENSG00000267731_rna 
 ENSG00000267733_rna 
 ENSG00000267737_rna 
 ENSG00000267745_rna 
 ENSG00000267748_rna 
 ENSG00000267750_rna 
 ENSG00000267751_rna 
 ENSG00000267767_rna 
 ENSG00000267769_rna 
 ENSG00000267787_rna 
 ENSG00000267793_rna 
 ENSG00000267795_rna 
 ENSG00000267796_rna 
 ENSG00000267801_rna 
 ENSG00000267809_rna 
 ENSG00000267811_rna 
 ENSG00000267834_rna 
 ENSG00000267838_rna 
 ENSG00000267855_rna 
 ENSG00000267858_rna 
 ENSG00000267868_rna 
 ENSG00000267871_rna 
 ENSG00000267882_rna 
 ENSG00000267886_rna 
 ENSG00000267892_rna 
 ENSG00000267898_rna 
 ENSG00000267904_rna 
 ENSG00000267908_rna 
 ENSG00000267909_rna 
 ENSG00000267919_rna 
 ENSG00000267922_rna 
 ENSG00000267924_rna 
 ENSG00000267934_rna 
 ENSG00000267938_rna 
 ENSG00000267939_rna 
 ENSG00000267940_rna 
 ENSG00000267943_rna 
 ENSG00000267978_rna 
 ENSG00000267980_rna 
 ENSG00000268001_rna 
 ENSG00000268006_rna 
 ENSG00000268027_rna 
 ENSG00000268030_rna 
 ENSG00000268041_rna 
 ENSG00000268043_rna 
 ENSG00000268047_rna 
 ENSG00000268049_rna 
 ENSG00000268061_rna 
 ENSG00000268080_rna 
 ENSG00000268081_rna 
 ENSG00000268087_rna 
 ENSG00000268089_rna 
 ENSG00000268104_rna 
 ENSG00000268119_rna 
 ENSG00000268129_rna 
 ENSG00000268189_rna 
 ENSG00000268201_rna 
 ENSG00000268204_rna 
 ENSG00000268205_rna 
 ENSG00000268218_rna 
 ENSG00000268222_rna 
 ENSG00000268225_rna 
 ENSG00000268230_rna 
 ENSG00000268279_rna 
 ENSG00000268287_rna 
 ENSG00000268297_rna 
 ENSG00000268307_rna 
 ENSG00000268350_rna 
 ENSG00000268357_rna 
 ENSG00000268362_rna 
